Age,Intervention,Metric,value oct,value nov,value dec,value jan,value feb,value mar,value apr,value may,value june,value jul,value aug,value sept
0,RSVpreF,Deaths,0.09709326,0.307674413,0.812400321,0.873370923,0.759632482,0.471206783,0.125775696,0.035403691,0.015523157,0.01119846,0.012157083,0.026743403
1,RSVpreF,Deaths,0.184644213,0.58511064,1.544958088,1.660907113,1.444608423,0.896103451,0.23919018,0.067327913,0.0295207,0.021296337,0.02311937,0.05085847
2,RSVpreF,Deaths,0.144166917,0.456843981,1.206275795,1.296806731,1.127924561,0.699661635,0.186755438,0.052568437,0.023049238,0.016627801,0.018051193,0.039709389
3,RSVpreF,Deaths,0.10741122,0.340370525,0.898732922,0.966182782,0.840357521,0.521281243,0.139141697,0.039165989,0.01717278,0.012388504,0.013448998,0.029585386
4,RSVpreF,Deaths,0.096763658,0.30662995,0.809642466,0.870406091,0.757053757,0.469607178,0.125348726,0.035283506,0.01547046,0.011160444,0.012115813,0.026652617
5,RSVpreF,Deaths,0.091079116,0.288616465,0.762078675,0.819272641,0.712579378,0.442019325,0.117984907,0.033210718,0.014561622,0.010504805,0.01140405,0.025086865
6,RSVpreF,Deaths,0.080216469,0.254194318,0.671188558,0.721561225,0.627592847,0.389301424,0.103913312,0.029249806,0.012824915,0.009251939,0.010043934,0.022094854
7,RSVpreF,Deaths,0.066847058,0.211828598,0.559323798,0.601301021,0.522994039,0.324417853,0.086594427,0.024374839,0.010687429,0.007709949,0.008369945,0.018412378
8,RSVpreF,Deaths,0.06099794,0.193293596,0.510382966,0.548687181,0.47723206,0.296031291,0.079017415,0.02224204,0.009752279,0.007035328,0.007637574,0.016801295
9,RSVpreF,Deaths,0.07018941,0.222420028,0.587289988,0.631366072,0.549143741,0.340638746,0.090924148,0.025593581,0.011221801,0.008095446,0.008788442,0.019332997
10,RSVpreF,Deaths,0.050135293,0.158871449,0.419492849,0.450975765,0.392245529,0.24331339,0.06494582,0.018281129,0.008015572,0.005782462,0.006277458,0.013809284
11,RSVpreF,Deaths,0.050135293,0.158871449,0.419492849,0.450975765,0.392245529,0.24331339,0.06494582,0.018281129,0.008015572,0.005782462,0.006277458,0.013809284
0,Nirsevimab,Deaths,0.073531763,0.233011458,0.615256178,0.661431123,0.575293443,0.356859638,0.190507739,0.053624645,0.023512344,0.016961888,0.018413878,0.040507232
1,Nirsevimab,Deaths,0.259867936,0.452272203,1.194204224,1.283829189,1.116637075,0.692659907,0.18488652,0.094757185,0.041547381,0.029972427,0.03253816,0.07157812
2,Nirsevimab,Deaths,0.093168087,0.295236109,1.077775882,1.158662907,1.007771104,0.625129377,0.166861101,0.046968524,0.029791209,0.021491483,0.023331221,0.051324504
3,Nirsevimab,Deaths,0.130351762,0.226863227,0.599022054,0.936855084,0.814849147,0.505458172,0.134918163,0.037977137,0.016651514,0.015034401,0.016321392,0.035904137
4,Nirsevimab,Deaths,0.056819999,0.180054308,0.657298296,0.706628499,0.759381603,0.471051161,0.125734157,0.035391998,0.01551803,0.011194761,0.014228906,0.031301043
5,Nirsevimab,Deaths,0.091079116,0.158513409,0.418547461,0.654597462,0.569349725,0.387400282,0.103405855,0.029106966,0.012762285,0.009206757,0.009994884,0.025086865
6,Nirsevimab,Deaths,0.040108235,0.127097159,0.463975268,0.498796588,0.536034073,0.332506702,0.091915738,0.025872696,0.011344182,0.008183733,0.008884286,0.019543836
7,Nirsevimab,Deaths,0.059317496,0.116340117,0.307190797,0.480438504,0.417871358,0.284330482,0.075894205,0.02162929,0.009483612,0.006841511,0.007427165,0.016338433
8,Nirsevimab,Deaths,0.054185982,0.171707492,0.352814527,0.379293239,0.407609243,0.252843638,0.069894259,0.019674029,0.008663191,0.006249657,0.006784647,0.014925007
9,Nirsevimab,Deaths,0.07018941,0.222420028,0.587289988,0.50446043,0.438764926,0.298547007,0.079688916,0.022710755,0.009957792,0.008095446,0.008788442,0.019332997
10,Nirsevimab,Deaths,0.050135293,0.158871449,0.419492849,0.450975765,0.335021296,0.207816689,0.057447336,0.016170435,0.007120431,0.005136704,0.006277458,0.013809284
11,Nirsevimab,Deaths,0.050135293,0.158871449,0.419492849,0.450975765,0.392245529,0.213247862,0.056920654,0.016221968,0.007112709,0.005782462,0.006277458,0.013809284
0,Combined,Deaths,0,0,0,0,0,0,0.161117542,0.045351811,0.019885025,0.014345127,0.015573114,0.034258061
1,Combined,Deaths,0.225714217,0.081060731,0.214037181,0.23010066,0.200134823,0.124145411,0.033137204,0.082303512,0.036086925,0.026033234,0.02826176,0.062170807
2,Combined,Deaths,0,0,0.596436677,0.641199218,0.557696324,0.345943989,0.092340237,0.025992185,0.026730162,0.019283232,0.020933937,0.04605091
3,Combined,Deaths,0.119936101,0.040660688,0.107362702,0.701173177,0.609859919,0.378301531,0.100977193,0.02842334,0.012462541,0.013833088,0.015017243,0.033035244
4,Combined,Deaths,0,0,0.363746135,0.391045263,0.623201801,0.386577619,0.103186268,0.029045156,0.012735184,0.009187206,0.013269501,0.029190525
5,Combined,Deaths,0.091079116,0.028410353,0.075016247,0.489922284,0.426120072,0.33278124,0.088826803,0.025003214,0.010962948,0.007908709,0.008585719,0.025086865
6,Combined,Deaths,0,0,0.256761977,0.276031951,0.444475299,0.275711981,0.079918163,0.022495586,0.009863449,0.007115527,0.007724638,0.016992819
7,Combined,Deaths,0.051787934,0.020851635,0.055057796,0.359575988,0.312748676,0.244243112,0.065193984,0.018883741,0.008279794,0.005973073,0.006484386,0.014264488
8,Combined,Deaths,0.047374024,0.150121389,0.195246087,0.209899296,0.337986426,0.209655985,0.060771103,0.017106018,0.007574104,0.005463985,0.005931719,0.013048719
9,Combined,Deaths,0.07018941,0.222420028,0.587289988,0.377554788,0.32838611,0.256455267,0.068453683,0.019827928,0.008693784,0.008095446,0.008788442,0.019332997
10,Combined,Deaths,0.050135293,0.158871449,0.419492849,0.450975765,0.277797062,0.172319988,0.049948852,0.014059741,0.006225291,0.004490946,0.006277458,0.013809284
11,Combined,Deaths,0.050135293,0.158871449,0.419492849,0.450975765,0.392245529,0.183182334,0.048895488,0.014162806,0.006209846,0.005782462,0.006277458,0.013809284
