"","x"
"163",3522.56062503922
"164",3633.30205586948
"165",6077.88655600266
"166",5964.85543632798
"167",5096.07113120018
"168",4669.64233377198
"169",2635.07682857534
"170",5443.66112345178
"171",2671.7810644384
"172",6075.5334058908
"173",4733.295942339
"174",6915.88751860813
"175",5364.9964866325
"176",6085.74927631614
"177",6954.63864112104
"178",4602.03826137679
"179",5500.08934014366
"180",4588.37707642827
"181",5256.0255320787
"182",6122.78962801112
"183",2223.41343919683
"184",3252.34471953241
"185",3562.09742056602
"186",1270.37359955657
"187",8862.50210056367
"188",3628.74325404916
"189",3144.79061450792
"190",4591.61741538794
"191",7881.90638033551
"192",5302.47934840876
"193",7015.30863097706
"194",6911.87905126554
"195",5645.19111644744
"196",7938.97769451491
"197",3815.83073798352
"198",4050.29244751652
"199",6526.32930735621
"200",5928.29221615056
"201",4943.07917848282
"202",4231.60362878774
"203",6107.96279119572
"204",7587.36073700164
"205",3544.90092441189
"206",4900.32509310707
"207",4693.53518239374
"208",3465.45947316411
"209",3252.92367256398
"210",1904.44692979002
"211",4358.62682623148
"212",3985.31230389536
"213",5688.36334643053
"214",4298.23942719755
"215",8122.23385356518
"216",7556.76658847131
"217",6465.70977600431
"218",2153.23102490162
"219",4183.05024559738
"220",3202.93598198052
"221",2150.22021784203
"222",5917.49137565779
"223",8238.29823212861
"224",3768.83909312874
"225",6134.82253591949
"226",2590.10938744899
"227",3907.09666409803
"228",8078.63919282815
"229",2630.6518802208
"230",2243.31106570049
"231",5133.96164438315
"232",3685.76343843353
"233",5217.55029805528
"234",6618.97408096795
"235",3048.34122156521
"236",9298.17676813545
"237",6044.31137053156
"238",1947.0040944785
"239",1937.15730097366
"240",6089.17536782176
"241",6165.96871615667
"242",3985.83951941598
"243",7125.65961729235
"244",6543.82744372432
"245",1910.16524876608
"246",2216.21505095373
"247",7816.63551257912
"248",5950.51467301149
"249",1456.133562562
"250",4981.42060882779
"251",7732.83805529639
"252",5951.72972134734
"253",3097.26475345524
"254",7883.86411651969
"255",8141.21065127681
"256",5583.01794693846
"257",1972.89963279822
"258",2840.29645924456
"259",3122.23063701222
"260",10964.9460432109
"261",9419.59199199767
"262",6708.02858679544
"263",5935.59263629396
"264",1298.46054978372
"265",6668.5885324502
"266",2651.07075084135
"267",14288.0085686328
"268",1977.13120524498
"269",1954.92649540387
"270",3041.56425937545
"271",3131.31380367622
"272",4511.56155237637
"273",7283.56518851657
"274",6815.345862947
"275",8097.09399574815
"276",7681.79674501816
"277",4159.93533856567
"278",4351.25488788309
"279",2137.46706806513
"280",3089.55752081523
"281",5332.94582948729
"282",7015.60246803926
"283",2662.66586792999
"284",10032.3153861951
"285",8077.58841845917
"286",4684.91105283867
"287",6526.12687006092
"288",3383.60293814068
"289",5268.2494852416
"290",6709.81807932188
"291",3473.45027151733
"292",2645.96813847439
"293",4637.24888846156
"294",6864.32378145988
"295",3325.44709364377
"296",5722.91603728279
"297",7892.14583513071
"298",2503.51258206548
"299",6134.08072861959
"300",5963.26102409814
"301",1673.57138232124
"302",6787.66694792366
"303",7124.31253636401
"304",2687.6689233068
"305",7274.28682175901
"306",6629.29303946282
"307",5935.90368239867
"308",1461.35549224151
"309",7804.73070787423
